,fee,names,ratings,repeat,response_time,review,services,title,boarding,sitting,daycare,checkups,walking,bathing,training,grooming,pickup/dropoff
147,30.0,Pupster Palace,5.0,2,3,2,2,"Phoenix, Arizona",1,1,0,0,0,0,0,0,0
148,25.0,Second Home Pet Resort,5.0,1,1,2,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
149,25.0,Puppy Love,5.0,4,3,94,4,"Phoenix, Arizona",1,0,1,0,1,0,1,0,0
150,25.0,Juniper's pet sitting.,5.0,0,1,1,2,"Phoenix, Arizona",1,0,1,0,0,0,0,0,0
151,30.0,Full Love,5.0,2,2,81,2,"Phoenix, Arizona",1,0,0,0,0,1,0,0,0
152,25.0,Free belly rubs!,0.0,0,1,0,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
153,40.0,Montgomery's Dog Boarding,0.0,0,1,0,3,"Phoenix, Arizona",0,1,0,1,0,0,0,0,1
154,25.0,Dog lovers w/ grass yard to run,5.0,1,1,1,4,"Phoenix, Arizona",1,0,1,0,1,1,0,0,0
155,35.0,Warner Ranch Woofers,5.0,3,1,64,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
156,35.0,Adrianne & Dayton boarding,0.0,0,1,0,2,"Phoenix, Arizona",1,0,1,0,0,0,0,0,0
157,45.0,Cierra's Pet Care Services,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,0,0,0,1
158,45.0,Nina's Pet care,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,0,0,0,1
159,35.0,Golden Rule DogMa,5.0,6,1,97,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
160,25.0,Happy Tails Petsitting,5.0,1,1,2,3,"Phoenix, Arizona",1,0,1,0,1,0,0,0,0
161,25.0,Dog Heaven for the holidays!,0.0,0,1,0,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
162,25.0,Doggy Love,5.0,2,1,6,3,"Phoenix, Arizona",1,0,0,0,0,1,0,0,1
163,35.0,Adrianne & Dayton boarding,0.0,0,1,0,2,"Phoenix, Arizona",1,0,1,0,0,0,0,0,0
164,45.0,Cierra's Pet Care Services,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,0,0,0,1
165,45.0,Nina's Pet care,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,0,0,0,1
166,25.0,Dogs Haven,5.0,1,1,53,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
167,30.0,Dog lover!! Full time home!,5.0,0,1,1,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
168,40.0,Sun Devil Dog Care,5.0,1,1,1,4,"Phoenix, Arizona",0,1,1,1,1,0,0,0,0
169,35.0,Jenny's Happy Dog Resort,5.0,4,2,65,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
170,40.0,Doggy Vacay @ Camden Cooper Square,5.0,1,1,2,3,"Phoenix, Arizona",1,0,0,0,0,1,0,0,1
171,25.0,Pet luxury vacation,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
172,25.0,Doggy Love,5.0,2,1,6,3,"Phoenix, Arizona",1,0,0,0,0,1,0,0,1
